"Date","Price","Open","High","Low","Vol.","Change %"
"01/18/2024","21,900.0","21,900.0","21,900.0","21,900.0","0.02K","-1.78%"
"01/15/2024","22,297.0","22,300.0","22,350.0","22,297.0","0.12K","-0.46%"
"01/12/2024","22,399.0","22,399.0","22,399.0","22,399.0","0.02K","1.35%"
"01/08/2024","22,100.0","22,100.0","22,100.0","22,100.0","0.02K","0.00%"
"01/05/2024","22,100.0","22,100.0","22,100.0","22,100.0","0.04K","-0.67%"
"01/04/2024","22,250.0","22,250.0","22,250.0","22,250.0","0.06K","0.23%"
"01/02/2024","22,200.0","22,100.0","22,200.0","22,100.0","0.06K","0.00%"
"01/01/2024","22,200.0","22,000.0","22,200.0","22,000.0","0.04K","1.37%"
"12/29/2023","21,900.0","21,990.0","21,990.0","21,900.0","0.06K","-0.45%"
"12/28/2023","21,999.0","21,580.0","21,999.0","21,580.0","0.08K","4.76%"
"12/26/2023","21,000.0","21,001.0","21,100.0","20,714.3","0.14K","-1.66%"
"12/21/2023","21,355.0","21,799.0","21,799.0","21,355.0","0.04K","-2.04%"
"12/20/2023","21,799.0","21,799.0","21,799.0","21,799.0","0.02K","1.16%"
"12/19/2023","21,550.0","22,100.0","22,100.0","21,550.0","0.10K","-2.49%"
"12/18/2023","22,100.0","22,100.0","22,100.0","22,100.0","","-0.79%"
"12/14/2023","22,275.0","22,275.0","22,275.0","22,275.0","0.02K","0.79%"
"12/12/2023","22,100.0","22,000.0","22,100.0","22,000.0","0.06K","2.31%"
"12/11/2023","21,600.0","21,550.0","21,799.0","21,150.0","0.12K","-0.46%"
"12/08/2023","21,700.0","21,500.0","22,100.0","21,500.0","0.18K","-2.25%"
"12/07/2023","22,200.0","21,500.0","22,200.0","21,500.0","0.12K","0.00%"
"12/06/2023","22,200.0","22,000.0","22,200.0","22,000.0","0.10K","0.00%"
"12/04/2023","22,200.0","22,200.0","22,200.0","22,200.0","0.10K","3.26%"
"12/01/2023","21,500.0","21,750.0","21,750.0","21,500.0","0.12K","-4.44%"
"11/30/2023","22,500.0","22,500.0","22,500.0","22,500.0","0.02K","1.81%"
"11/29/2023","22,100.0","22,100.0","22,100.0","21,500.0","0.12K","-1.34%"
"11/28/2023","22,400.0","22,100.0","22,400.0","22,100.0","0.04K","-0.44%"
"11/27/2023","22,500.0","22,500.0","22,500.0","22,500.0","0.02K","0.00%"
"11/24/2023","22,500.0","22,500.0","22,500.0","22,500.0","0.02K","0.00%"
"11/23/2023","22,500.0","22,500.0","22,500.0","22,500.0","","-2.17%"
"11/21/2023","23,000.0","23,000.0","23,000.0","23,000.0","0.04K","2.22%"
"11/20/2023","22,500.2","22,500.0","22,500.2","22,500.0","0.06K","-2.17%"
"11/17/2023","23,000.0","23,000.0","23,000.0","23,000.0","0.06K","4.55%"
